Reference,Zenon,World Cat,Zotero,Findspot,Geonames ,Pleiades,Lat,Long,ARCH coin type,Mint,Nomisma mint ID ,Mint uncertain?,Mint Lat,Mint Long,Mint 2 Nomisma ID,Authority,Find Region,Metal,Site type,Getty vocabulary 1,Getty vocabulary 2,Production From Date,Production To Date
,nmo:hasReferenceWork,nmo:hasReferenceWork,nmo:hasReferenceWork,nmo:hasFindspot,nmo:hasFindspot,nmo:hasFindspot,,,nmo:TypeSeriesItem,nmo:hasMint,nmo:hasMint,,,,nmo:hasMint,nmo:hasAuthority,nmo:hasFindspot,nmo:hasMaterial,,,,nmo:hasStartDate,nmo:hasEndDate
Pohl (1994) Neandria no. 1,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/5127,Neandria,http://nomisma.org/id/neandria,,39.719741,26.270341,,,Troad,http://nomisma.org/id/ae,,,,350,310
Pohl (1994) Neandria no. 2,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/5095,Neandria,http://nomisma.org/id/neandria,,39.719741,26.270341,,,Troad,http://nomisma.org/id/ae,,,,350,310
Pohl (1994) Neandria no. 3,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/5127,Neandria,http://nomisma.org/id/neandria,,39.719741,26.270341,,,Troad,http://nomisma.org/id/ae,,,,350,310
Pohl (1994) Neandria no. 4,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/5127,Neandria,http://nomisma.org/id/neandria,,39.719741,26.270341,,,Troad,http://nomisma.org/id/ae,,,,350,310
Pohl (1994) Neandria no. 5,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/5095,Neandria,http://nomisma.org/id/neandria,,39.719741,26.270341,,,Troad,http://nomisma.org/id/ae,,,,350,310
Pohl (1994) Neandria no. 6,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/5095,Neandria,http://nomisma.org/id/neandria,,39.719741,26.270341,,,Troad,http://nomisma.org/id/ae,,,,350,310
Pohl (1994) Neandria no. 7,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,,Neandria,http://nomisma.org/id/neandria,,39.719741,26.270341,,,Troad,http://nomisma.org/id/ae,,,,,
Pohl (1994) Neandria no. 8,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/3865,Dardanus,http://nomisma.org/id/dardanus,,40.079727,26.37442,,,Troad,http://nomisma.org/id/ae,,,,375,300
Pohl (1994) Neandria no. 9,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/5373,Sigeum,http://nomisma.org/id/sigeum,,39.993701,26.184284,,,Troad,http://nomisma.org/id/ae,,,,350,300
Pohl (1994) Neandria no. 11,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,https://www.corpus-nummorum.eu/types/19753,Gambrium,http://nomisma.org/id/gambrium,,39.0910834,27.3204017,,,Troad,http://nomisma.org/id/ae,,,,350,300
Pohl (1994) Neandria no. 12,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,,Gambrium,http://nomisma.org/id/gambrium,TRUE,39.0910834,27.3204017,,,Troad,http://nomisma.org/id/ae,,,,350,350
Pohl (1994) Neandria no. 13,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Neandria,,https://pleiades.stoa.org/places/550772,39.72369396,26.27322157,,Dardanus,http://nomisma.org/id/dardanus,,40.079727,26.37442,,,Troad,http://nomisma.org/id/ae,,,,400,300
Pohl (1994) Alexandria Troas no. 1,https://zenon.dainst.org/Record/000183780,,https://www.zotero.org/groups/5615864/change_project_site_finds_database/items/DP76W38L/library,Alexandria Troas,,https://pleiades.stoa.org/places/550434,39.7516571,26.15755952,https://www.corpus-nummorum.eu/types/21124,Alexandreia Troas,http://nomisma.org/id/alexandreia_troas,,39.7516571,26.15755952,,,Troad,http://nomisma.org/id/ae,,,,95,85
